damage,map,player,result,tank,time
Unknown,EU2
Berlin,TheTankReaper,Unknown,Grille 15,15 hours ago
Unknown,EU2
Steppes,TheTankReaper,Unknown,Grille 15,17 hours ago
Unknown,EU2
Steppes,TheTankReaper,Unknown,Grille 15,17 hours ago
Unknown,EU2
Lakeville,TheTankReaper,Unknown,Grille 15,17 hours ago
Unknown,EU2
Live Oaks,TheTankReaper,Unknown,Grille 15,17 hours ago
Unknown,EU2
Mines,TheTankReaper,Unknown,Grille 15,17 hours ago
Unknown,EU2
Mannerheim Line,TheTankReaper,Unknown,FV4005,18 hours ago
